"Sepal.Length","Sepal.Width","Petal.Length","Petal.Width","Species","Sepal.Area","Prediccion_Petal.Length"
7.7,2.6,6.9,2.3,"virginica",20.02,7.20849056295982
6,2.2,5,1.5,"virginica",13.2,4.04915449992659
6.9,3.2,5.7,2.3,"virginica",22.08,5.72174418035595
5.6,2.8,4.9,2,"virginica",15.68,3.30578130862465
7.7,2.8,6.7,2,"virginica",21.56,7.20849056295982
6.3,2.7,4.9,1.8,"virginica",17.01,4.60668439340304
6.7,3.3,5.7,2.1,"virginica",22.11,5.35005758470498
7.2,3.2,6,1.8,"virginica",23.04,6.2792740738324
6.2,2.8,4.8,1.8,"virginica",17.36,4.42084109557756
6.1,3,4.9,1.8,"virginica",18.3,4.23499779775207
6.4,2.8,5.6,2.1,"virginica",17.92,4.79252769122853
7.2,3,5.8,1.6,"virginica",21.6,6.2792740738324
7.4,2.8,6.1,1.9,"virginica",20.72,6.65096066948337
7.9,3.8,6.4,2,"virginica",30.02,7.58017715861079
6.4,2.8,5.6,2.2,"virginica",17.92,4.79252769122853
6.3,2.8,5.1,1.5,"virginica",17.64,4.60668439340304
6.1,2.6,5.6,1.4,"virginica",15.86,4.23499779775207
7.7,3,6.1,2.3,"virginica",23.1,7.20849056295982
6.3,3.4,5.6,2.4,"virginica",21.42,4.60668439340304
6.4,3.1,5.5,1.8,"virginica",19.84,4.79252769122853
6,3,4.8,1.8,"virginica",18,4.04915449992659
6.9,3.1,5.4,2.1,"virginica",21.39,5.72174418035595
6.7,3.1,5.6,2.4,"virginica",20.77,5.35005758470498
6.9,3.1,5.1,2.3,"virginica",21.39,5.72174418035595
5.8,2.7,5.1,1.9,"virginica",15.66,3.67746790427562
6.8,3.2,5.9,2.3,"virginica",21.76,5.53590088253046
6.7,3.3,5.7,2.5,"virginica",22.11,5.35005758470498
6.7,3,5.2,2.3,"virginica",20.1,5.35005758470498
6.3,2.5,5,1.9,"virginica",15.75,4.60668439340304
6.5,3,5.2,2,"virginica",19.5,4.97837098905401
6.2,3.4,5.4,2.3,"virginica",21.08,4.42084109557756
5.9,3,5.1,1.8,"virginica",17.7,3.86331120210111
